Refcode    FHe,T(-)   Density(g/cm3)   PoreVolume(cm3/g)   SAC,T(A2) SAC,T(m2/g) SAC,T(m2/cm3)
AHUNEW     0.20871     1.348     0.1548     55.523652  11.384881  15.351832
AHUPEA     0.173352     1.267     0.1368     49.668246  7.752041  9.820454
AHUPIE     0.230746     1.201     0.1922     20.334141  3.182659  3.821440
AHUWIK     0.08685     1.578     0.0550     46.368852  7.414737  11.698305
AJABIX01     0.339438     1.172     0.2896     2081.368663  463.713955  543.465017
AJABIX     0.328921     1.188     0.2768     1893.339697  421.822455  501.318548
AJABOD     0.330744     1.184     0.2793     1940.108050  432.242107  511.802797
AJABUJ01     0.190787     1.143     0.1669     27.929059  12.445087  14.228168
AJABUJ     0.244747     1.098     0.2228     194.067551  86.475793  94.977509
AJAGOI     0.321365     2.127     0.1511     2158.259406  330.524475  702.904867
AJAHEZ     0.259761     2.471     0.1051     187.003928  26.492201  65.451117
AJAXAM     0.457891     0.861     0.5319     1564.576777  462.112224  397.806206
AJECUO     0.226106     1.614     0.1401     502.592722  53.186631  85.841659
AJEKIL     0.163442     1.371     0.1192     161.434544  34.848162  47.788924
AJESUD     0.392068     1.244     0.3153     1183.735321  254.211017  316.125779
AJIHOQ     0.474837     1.301     0.3648     3124.363280  603.277368  785.162459
AJIJIN     0.518995     0.826     0.6279     2841.953828  1572.063740  1299.302057
AJIMEN     0.430647     1.428     0.3016     647.615148  163.752886  233.780425
AJIROB     0.227659     1.364     0.1668     66.588867  15.552013  21.220652
AJODOT     0.248948     1.442     0.1727     1948.616179  288.877420  416.526000
AJOHOY     0.25768     1.236     0.2084     1489.558147  306.652881  379.173001
AJOTOK     0.517524     1.375     0.3764     1640.975319  388.070562  533.581450
AJOVEB     0.145333     2.007     0.0724     207.980779  24.191740  48.548330
AJUFUI     0.277386     1.364     0.2034     524.527648  130.983704  178.640769
AJUNOK     0.288569     1.438     0.2007     544.030364  90.304832  129.823852
AKAXIU     0.485545     1.342     0.3618     3248.129125  743.373370  997.629620
AKAXOA     0.493795     1.321     0.3739     3303.423750  756.028209  998.479258
AKAXUG     0.479131     1.357     0.3531     3192.712361  730.690578  991.398348
AKAYAN     0.446172     1.421     0.3140     3032.072697  693.926261  986.089073
AKAYER     0.484453     1.313     0.3689     3308.256295  757.134195  994.175200
