Refcode  Volume(A3) Mass(g/mol) Density(g/cm3)  FHe,T(-) FG,T(-) FHe,A(-) FG,A(-)  SAC,T(A2) SAC,T(m2/cm3) SAC,T(m2/g) SAC,A(A2) SAC,A(m2/cm3) SAC,A(m2/g)  VPO,T(A3) VPO,T(cm3/g) FPO,T(-) VPO,A(A3) VPO,A(cm3/g) FPO,A(-)  Accesibility Porosity   PLD(A) LCD(A)     Dimensionality     Year
ACIBIY    41057.692  44684.704  1.807      0.091242  0.416652  0.091242  0.416652      176.18  42.91  23.74  0.00  0.00  0.00      2701.16083  0.036  0.06579  0.00000  0.000  0.00000       No  No  1.71  4.83  3D    2006
ACIBOE    60466.992  46347.328  1.273      0.469122  0.550894  0.469122  0.550894      4858.69  803.53  631.31  4589.86  759.07  596.38      24563.49153  0.319  0.40623  18434.27747  0.240  0.30487       Yes  Yes  6.99  8.15  1D    2006
ACICOH    36204.344  27243.630  1.250      0.435416  0.469207  0.435416  0.469207      956.83  264.29  211.51  963.78  266.20  213.04      12023.64982  0.266  0.33211  12008.36120  0.265  0.33168       Yes  Yes  3.56  5.04  1D    2017
ACIPAF    34602.247  14647.752  0.703      0.577248  0.644679  0.577248  0.644679      5780.03  1670.42  2376.35  5783.24  1671.35  2377.67      18599.87594  0.765  0.53753  18644.49066  0.767  0.53882       Yes  Yes  5.45  6.89  2D    2013
ACODAA    22076.624  13526.856  1.017      0.552390  0.610218  0.552390  0.610218      2466.36  1117.18  1098.02  2462.34  1115.36  1096.23      10635.79910  0.474  0.48177  10567.09413  0.470  0.47866       Yes  Yes  5.78  6.30  1D    2017
ACOLAG    43342.232  10307.760  0.395      0.823492  0.877284  0.823492  0.877284      5807.77  1339.98  3393.10  5759.49  1328.84  3364.89      37088.10032  2.167  0.85570  37069.08858  2.166  0.85526       Yes  Yes  13.65  14.13  1D    2006
ACOLIP    55002.333  34734.600  1.049      0.440926  0.508108  0.440926  0.508108      554.56  100.82  96.15  0.00  0.00  0.00      19286.34203  0.334  0.35065  0.00000  0.000  0.00000       No  No  3.16  4.61  1D    2012
ACOQEP    50044.959  48664.829  1.615      0.323710  0.451076  0.323710  0.451076      1070.30  213.87  132.45  949.60  189.75  117.51      14106.55732  0.175  0.28188  12178.72887  0.151  0.24336       Yes  Yes  3.64  4.61  1D    2006
ACOZAW    32103.507  19884.544  1.029      0.580184  0.718746  0.580184  0.718746      5454.07  1698.90  1651.79  5478.10  1706.39  1659.07      21182.19418  0.642  0.65981  21198.34618  0.642  0.66031       Yes  Yes  4.45  7.43  2D    2017
ACOZOH    37184.334  33384.192  1.491      0.183778  0.402971  0.183778  0.402971      103.12  27.73  18.60  0.00  0.00  0.00      5121.61131  0.092  0.13774  0.00000  0.000  0.00000       No  No  1.10  4.40  3D    2002
ACOZUN    38104.620  37651.776  1.641      0.184259  0.405721  0.184259  0.405721      113.91  29.89  18.22  0.00  0.00  0.00      5435.68559  0.087  0.14265  0.00000  0.000  0.00000       No  No  1.12  4.50  1D    2002
ACUCAC    42468.566  8214.464  0.321      0.878125  0.842517  0.878125  0.842517      9567.53  2252.85  7014.09  9550.34  2248.80  7001.49      35007.66238  2.566  0.82432  35104.26979  2.574  0.82659       Yes  Yes  8.75  11.39  2D    2002
ACUDAD    32167.309  23722.279  1.225      0.292545  0.451976  0.292545  0.451976      4.45  1.38  1.13  0.00  0.00  0.00      6757.66841  0.172  0.21008  0.00000  0.000  0.00000       No  No  2.62  4.10  2D    2002
ACUFUR01    35158.014  24261.888  1.146      0.324337  0.564095  0.324337  0.564095      414.83  117.99  102.97  0.00  0.00  0.00      13845.04588  0.344  0.39379  0.00000  0.000  0.00000       No  No  2.89  4.36  2D    1992
ACUFUR    35221.779  24261.888  1.144      0.330637  0.568636  0.330637  0.568636      404.49  114.84  100.40  0.00  0.00  0.00      13847.62446  0.344  0.39316  0.00000  0.000  0.00000       No  No  2.92  4.27  1D    1976
ACURUO    45476.972  30299.424  1.106      0.505612  0.544917  0.505612  0.544917      4892.61  1075.84  972.43  4926.80  1083.36  979.22      18771.74317  0.373  0.41277  18759.35258  0.373  0.41250       Yes  Yes  4.14  6.63  1D    2017
ACUTOI    53715.049  57659.904  1.782      0.213242  0.376056  0.213242  0.376056      949.95  176.85  99.21  934.44  173.96  97.60      9538.40060  0.100  0.17757  9528.30064  0.100  0.17739       Yes  Yes  4.07  4.80  1D    2006
ADABUE    22400.428  19769.832  1.466      0.219041  0.411360  0.219041  0.411360      12.60  5.63  3.84  0.00  0.00  0.00      2988.30946  0.091  0.13340  0.00000  0.000  0.00000       No  No  2.90  4.10  1D    2013
ADAFAN01    22951.916  12731.208  0.921      0.454184  0.556840  0.454184  0.556840      392.70  171.10  185.76  0.00  0.00  0.00      9407.75981  0.445  0.40989  0.00000  0.000  0.00000       No  No  3.10  4.68  1D    2013
ADASEF    160898.645  45259.520  0.467      0.838986  0.825195  0.838986  0.825195      29308.04  1821.52  3899.67  29406.92  1827.67  3912.83      129652.74275  1.725  0.80580  129825.34752  1.727  0.80688       Yes  Yes  9.66  21.53  3D    2013
ADAWOS    38508.417  28499.278  1.229      0.444794  0.558851  0.444794  0.558851      38.35  9.96  8.10  0.00  0.00  0.00      15105.22641  0.319  0.39226  0.00000  0.000  0.00000       No  No  3.20  4.16  2D    2006
ADAYAG    31486.138  14224.296  0.750      0.605494  0.645858  0.605494  0.645858      4235.34  1345.15  1793.12  4170.52  1324.56  1765.67      17118.48908  0.725  0.54368  16982.24071  0.719  0.53936       Yes  Yes  5.66  7.77  1D    2006
ADECAQ    29296.497  23574.096  1.336      0.192214  0.428249  0.192214  0.428249      51.49  17.58  13.15  0.00  0.00  0.00      4640.84832  0.119  0.15841  0.00000  0.000  0.00000       No  No  2.28  4.30  1D    2017
ADEGOG    31187.588  23974.272  1.276      0.229701  0.406489  0.229701  0.406489      719.94  230.84  180.84  0.00  0.00  0.00      5655.40275  0.142  0.18134  0.00000  0.000  0.00000       No  No  2.00  5.05  1D    2006
ADENUV    33471.616  23955.216  1.188      0.416911  0.484755  0.416911  0.484755      246.18  73.55  61.89  137.44  41.06  34.55      9633.11685  0.242  0.28780  4841.70805  0.122  0.14465       Yes  Yes  3.35  4.59  1D    2017
ADETEL    59792.320  34694.784  0.964      0.557022  0.577874  0.557022  0.577874      6024.73  1007.61  1045.74  6085.11  1017.71  1056.22      26729.77432  0.464  0.44704  27016.55965  0.469  0.45184       Yes  Yes  4.48  5.82  2D    2017
ADETIP    34900.883  29742.600  1.415      0.222620  0.431272  0.222620  0.431272      230.50  66.04  46.67  0.00  0.00  0.00      5346.40113  0.108  0.15319  0.00000  0.000  0.00000       No  No  1.59  4.50  1D    2017
ADETUB    22360.805  14467.224  1.074      0.241224  0.431681  0.241224  0.431681      72.49  32.42  30.17  0.00  0.00  0.00      3451.82311  0.144  0.15437  0.00000  0.000  0.00000       No  No  1.96  4.52  1D    2017
ADEVIR    32868.674  29429.760  1.487      0.294202  0.410031  0.294202  0.410031      1022.31  311.03  209.19  1052.36  320.17  215.34      8089.00850  0.166  0.24610  7974.45240  0.163  0.24262       Yes  Yes  4.32  5.10  1D    2017
ADIJIJ    34250.231  73434.496  3.560      0.323422  0.508306  0.323422  0.508306      2359.62  688.93  193.50  1884.55  550.23  154.55      13097.26222  0.107  0.38240  11015.07086  0.090  0.32161       Yes  Yes  3.81  5.76  1D    2017
ADIQAH    34748.959  25888.320  1.237      0.426051  0.442191  0.426051  0.442191      618.57  178.01  143.89  626.28  180.23  145.68      10453.27948  0.243  0.30082  10476.32801  0.244  0.30149       Yes  Yes  3.51  4.56  1D    2013
ADIQEL    34314.757  25556.184  1.237      0.408753  0.443133  0.408753  0.443133      315.90  92.06  74.44  273.95  79.83  64.55      9894.56128  0.233  0.28835  8836.22186  0.208  0.25751       Yes  Yes  3.43  4.23  1D    2013
ADIQOV    44683.419  32711.232  1.216      0.208412  0.406133  0.208412  0.406133      168.36  37.68  30.99  0.00  0.00  0.00      6885.12904  0.127  0.15409  0.00000  0.000  0.00000       No  No  1.54  4.36  2D    2013
ADOCAY    34124.393  34632.224  1.685      0.293131  0.453883  0.286039  0.453883      460.52  134.95  80.08  436.64  127.96  75.93      9570.34340  0.166  0.28045  5123.59540  0.089  0.15014       Yes  Yes  3.69  5.21  1D    2007
ADOCIG    34143.251  34632.224  1.684      0.293681  0.454044  0.286334  0.454044      435.46  127.54  75.72  435.65  127.60  75.75      9704.60242  0.169  0.28423  5224.36265  0.091  0.15301       Yes  Yes  3.70  5.24  1D    2007
ADODII    27225.258  19932.976  1.216      0.418848  0.503767  0.418848  0.503767      1592.77  585.03  481.21  1633.26  599.91  493.44      8101.57326  0.245  0.29758  8231.86773  0.249  0.30236       Yes  Yes  4.71  5.74  1D    2013
ADODOO    26255.834  20350.848  1.287      0.410897  0.489325  0.410897  0.489325      1650.83  628.75  488.51  1660.22  632.32  491.29      7753.55047  0.229  0.29531  7725.28567  0.229  0.29423       Yes  Yes  4.70  5.74  1D    2013
ADODUU    25982.870  20573.610  1.315      0.410216  0.484825  0.410216  0.484825      1648.08  634.30  482.41  1653.21  636.27  483.92      7622.54404  0.223  0.29337  7701.90617  0.225  0.29642       Yes  Yes  4.75  5.73  1D    2013
ADOKEK    23745.548  23352.784  1.633      0.509143  0.650532  0.509143  0.650532      3486.61  1468.32  899.12  3589.72  1511.75  925.71      12297.55537  0.317  0.51789  12282.10812  0.317  0.51724       Yes  Yes  6.08  6.56  1D    2007
ADONOX    32804.080  21338.880  1.080      0.371358  0.492178  0.371358  0.492178      2269.87  691.95  640.59  2254.47  687.25  636.24      10389.61097  0.293  0.31672  10247.53082  0.289  0.31239       Yes  Yes  5.00  5.54  1D    2007
ADUBAE    29078.690  18688.968  1.067      0.301125  0.500775  0.301125  0.500775      1873.75  644.37  603.78  1909.68  656.73  615.36      8266.79457  0.266  0.28429  8153.21169  0.263  0.28038       Yes  Yes  5.34  6.37  1D    2013
ADULIX    35749.475  47933.098  2.226      0.139422  0.354673  0.139422  0.354673      614.14  171.79  77.16  647.66  181.17  81.37      3909.05777  0.049  0.10935  3940.75626  0.050  0.11023       Yes  Yes  3.77  5.33  1D    2017
ADURUN    34167.484  30918.096  1.503      0.111072  0.329010  0.111072  0.329010      10.14  2.97  1.97  0.00  0.00  0.00      2632.74660  0.051  0.07705  0.00000  0.000  0.00000       No  No  1.94  4.15  1D    2007
ADUSOI    38302.636  20227.500  0.877      0.630974  0.621597  0.630974  0.621597      2079.13  542.82  619.00  2103.58  549.20  626.28      20001.78686  0.595  0.52220  20039.88097  0.597  0.52320       Yes  Yes  3.53  5.33  3D    2007
ADUVAY    38592.956  36116.820  1.554      0.424121  0.630748  0.424121  0.630748      5092.98  1319.67  849.21  5160.88  1337.26  860.53      19795.29242  0.330  0.51293  19598.11846  0.327  0.50782       Yes  Yes  4.58  5.79  1D    2013
AFAREH    49665.398  59141.502  1.977      0.091096  0.337357  0.091096  0.337357      15.80  3.18  1.61  0.00  0.00  0.00      3744.74681  0.038  0.07540  0.00000  0.000  0.00000       No  No  1.99  4.25  1D    2018
AFARIL    48207.936  61145.820  2.106      0.083590  0.304466  0.083590  0.304466      0.69  0.14  0.07  0.00  0.00  0.00      3456.59411  0.034  0.07170  0.00000  0.000  0.00000       No  No  1.93  4.13  1D    2018
AFAROR    48095.502  61446.708  2.122      0.081755  0.309645  0.081755  0.309645      0.69  0.14  0.07  0.00  0.00  0.00      3596.54982  0.035  0.07478  0.00000  0.000  0.00000       No  No  1.93  4.12  1D    2018
AFARUX    49144.178  59812.236  2.021      0.079549  0.315378  0.079549  0.315378      7.70  1.57  0.77  0.00  0.00  0.00      3555.47603  0.036  0.07235  0.00000  0.000  0.00000       No  No  1.82  4.20  1D    2018
AFAWAH    35416.459  28117.363  1.318      0.300544  0.494875  0.300544  0.494875      96.20  27.16  20.60  0.00  0.00  0.00      8046.52271  0.172  0.22720  0.00000  0.000  0.00000       No  No  1.87  4.33  1D    2013
AFECEV    32649.351  24232.056  1.232      0.063733  0.330698  0.063733  0.330698      2.19  0.67  0.54  0.27  0.08  0.07      1211.43492  0.030  0.03710  1109.94216  0.028  0.03400       Yes  Yes  1.43  4.04  1D    2013
AFECIY01    32410.776  31046.112  1.591      0.222682  0.353209  0.222682  0.353209      32.62  10.07  6.33  0.00  0.00  0.00      4597.44050  0.089  0.14185  0.00000  0.000  0.00000       No  No  1.05  4.18  2D    2008
AFECIY    32864.537  31046.112  1.569      0.222229  0.358135  0.222229  0.358135      67.49  20.54  13.09  0.00  0.00  0.00      4667.96840  0.091  0.14204  0.00000  0.000  0.00000       No  No  1.07  4.26  2D    2007
AFEDAR    29658.697  25246.080  1.413      0.309643  0.462264  0.309643  0.462264      502.59  169.46  119.89  0.00  0.00  0.00      7721.56535  0.184  0.26035  0.00000  0.000  0.00000       No  No  3.00  4.90  2D    2007
AFEGIE    28958.081  21700.416  1.244      0.312090  0.438749  0.312090  0.438749      309.01  106.71  85.75  0.00  0.00  0.00      6676.65620  0.185  0.23056  0.00000  0.000  0.00000       No  No  3.05  4.45  1D    2018
AFEHAV    33371.181  20687.670  1.029      0.234428  0.418443  0.234428  0.418443      96.64  28.96  28.13  0.00  0.00  0.00      5743.36835  0.167  0.17211  0.00000  0.000  0.00000       No  No  1.97  4.21  1D    2007
AFEHOI    35409.537  29345.328  1.376      0.183874  0.333057  0.183874  0.333057      22.06  6.23  4.53  0.00  0.00  0.00      4107.64764  0.084  0.11600  0.00000  0.000  0.00000       No  No  2.00  4.28  1D    2002
AFEJAW    35647.259  29345.328  1.367      0.191833  0.338150  0.191833  0.338150      37.77  10.60  7.75  0.00  0.00  0.00      4343.11188  0.089  0.12184  0.00000  0.000  0.00000       No  No  1.89  4.36  1D    2002
AFEJEA    61433.159  31077.184  0.840      0.525997  0.579353  0.525997  0.579353      5990.18  975.07  1160.78  5974.94  972.59  1157.83      27327.18374  0.530  0.44483  27412.60343  0.531  0.44622       Yes  Yes  6.30  6.74  1D    2002
AFEJEB    24348.561  16212.928  1.106      0.541092  0.669639  0.541092  0.669639      3748.10  1539.35  1392.20  3769.62  1548.19  1400.19      13435.12676  0.499  0.55178  13448.17057  0.500  0.55232       Yes  Yes  7.40  8.37  2D    2007
AFEJIE    59510.413  31077.184  0.867      0.526389  0.571439  0.526389  0.571439      5286.70  888.37  1024.46  5241.83  880.83  1015.76      25947.05120  0.503  0.43601  25845.03134  0.501  0.43429       Yes  Yes  6.35  6.79  1D    2002
AFEJUQ    39139.837  26954.064  1.144      0.387853  0.491009  0.387853  0.491009      595.17  152.06  132.97  601.73  153.74  134.44      11613.44656  0.259  0.29672  11630.74277  0.260  0.29716       Yes  Yes  3.86  4.76  1D    2002
AFEKAY    33042.309  17119.360  0.860      0.468810  0.533884  0.468810  0.533884      1544.39  467.40  543.28  0.00  0.00  0.00      11533.54342  0.406  0.34905  0.00000  0.000  0.00000       No  No  3.15  5.15  2D    2007
AFELII    46223.594  41711.424  1.498      0.196070  0.399696  0.196070  0.399696      421.04  91.09  60.79  0.00  0.00  0.00      6978.16325  0.101  0.15097  0.00000  0.000  0.00000       No  No  2.70  4.60  2D    2013
AFENEE    35819.698  26920.526  1.248      0.317209  0.451330  0.317209  0.451330      11.51  3.21  2.57  0.00  0.00  0.00      7847.22710  0.176  0.21908  0.00000  0.000  0.00000       No  No  2.77  4.04  1D    2002
AFENUX    34820.540  32959.296  1.572      0.258748  0.400907  0.258748  0.400907      5.14  1.48  0.94  0.00  0.00  0.00      7099.95853  0.130  0.20390  0.00000  0.000  0.00000       No  No  2.80  4.08  1D    2018
AFIJUX    43362.703  26735.280  1.024      0.463401  0.589466  0.463401  0.589466      2546.39  587.23  573.58  2270.59  523.63  511.45      16527.65891  0.372  0.38115  14418.88708  0.325  0.33252       Yes  Yes  3.80  5.56  1D    2018
AFIKAE    22263.587  13524.504  1.009      0.499940  0.615498  0.499940  0.615498      1701.96  764.46  757.84  1517.72  681.70  675.80      10365.10312  0.462  0.46556  8838.56625  0.394  0.39700       Yes  Yes  4.05  5.91  1D    2018
AFIKEI    22250.045  13734.720  1.025      0.493397  0.605254  0.493397  0.605254      1616.16  726.36  708.62  1611.73  724.37  706.68      9818.73937  0.431  0.44129  9008.03012  0.395  0.40485       Yes  Yes  3.99  5.93  1D    2018
AFIKIM    21696.831  13873.464  1.062      0.475016  0.593958  0.475016  0.593958      1371.17  631.97  595.19  1372.60  632.63  595.81      8791.51804  0.382  0.40520  8352.07101  0.363  0.38494       Yes  Yes  3.80  5.74  1D    2018
